"HOME OFFICE"
"65184"
"Invoice on Disk"
"00/00/00"
8,"JAN250001J ","PREVIEWS #438 MARCH 2025 (Net)",3.00,3.0000,24.00,14,2,""
1,"JAN250001J ","PREVIEWS #438 MARCH 2025 (Net)",3.00,.0000,.00,14,2,""
7,"JAN250003J ","PREVIEWS #438 MARCH 2025 CUSTOMER ORDER FORM EXTRAS (NET)",.30,.1500,1.05,14,2,""
5,"NOV241041D ","RIPPERLAND #2",4.99,2.2455,11.23,1,2,"DARK HORSE PRH"
8,"DEC240381E ","SAVAGE SWORD OF CONAN #7 CVR A HORLEY (MR)",6.99,3.4950,27.96,1,2,"TITAN COMICS"
2,"DEC240382E ","SAVAGE SWORD OF CONAN #7 CVR B JOYCE (MR)",6.99,3.4950,6.99,1,2,"TITAN COMICS"
2,"NOV247665E ","SAVAGE SWORD OF CONAN #7 CVR C FOC JOYCE VIRGIN (MR)",6.99,3.4950,6.99,1,2,"TITAN COMICS"
1,"OCT241095E ","SPECTREGRAPH HC (MR) (C: 0-1-2)",35.00,17.5000,17.50,3,2,"DSTLRY MEDIA"
1,"DEC240793D ","SPIDER-GWEN THE GHOST-SPIDER #10 LEE GARBETT FORESHADOW VAR",3.99,1.9950,2.00,1,2,"MARVEL PRH"
2,"DEC241081D ","STAR TREK DEFIANT #24 CVR A UNZUETA",4.99,2.2455,4.49,1,2,"IDW-PRH"
1,"DEC241082D ","STAR TREK DEFIANT #24 CVR B BEEM",4.99,2.2455,2.25,1,2,"IDW-PRH"
1,"NOV241115D ","STAR TREK SECTION 31 #1 10 COPY WU INCV",5.99,2.6955,2.70,1,2,"IDW-PRH"
7,"NOV241113D ","STAR TREK SECTION 31 #1 CVR A LEVENS",5.99,2.6955,18.87,1,2,"IDW-PRH"
3,"NOV241114D ","STAR TREK SECTION 31 #1 CVR B POSTER VAR",5.99,2.6955,8.09,1,2,"IDW-PRH"
2,"DEC241089D ","TEENAGE MUTANT NINJA TURTLES 2024 #7 25 COPY RIVAS INCV",4.99,2.2455,4.49,1,2,"IDW-PRH"
1,"DEC241090D ","TEENAGE MUTANT NINJA TURTLES 2024 #7 50 COPY MAHFOOD INCV",4.99,2.2455,2.25,1,2,"IDW-PRH"
36,"DEC241085D ","TEENAGE MUTANT NINJA TURTLES 2024 #7 CVR A FORNES",4.99,2.2455,80.84,1,2,"IDW-PRH"
7,"DEC241086D ","TEENAGE MUTANT NINJA TURTLES 2024 #7 CVR B EASTMAN",4.99,2.2455,15.72,1,2,"IDW-PRH"
7,"DEC241087D ","TEENAGE MUTANT NINJA TURTLES 2024 #7 CVR C FERREYRA",4.99,2.2455,15.72,1,2,"IDW-PRH"
5,"DEC241097D ","TMNT SATURDAY MORNING ADV #22 CVR A MYER",3.99,1.7955,8.98,1,2,"IDW-PRH"
2,"DEC241098D ","TMNT SATURDAY MORNING ADV #22 CVR B FRIDOLFS",3.99,1.7955,3.59,1,2,"IDW-PRH"
1,"OCT241166D ","TRIGUN MAXIMUM DLX ED HC VOL 04 (C: 0-1-2)",49.99,22.4955,22.50,3,2,"DARK HORSE PRH"
15,"DEC240119E ","UNCANNY VALLEY #8 (OF 10) CVR A WACHTER",4.99,2.4950,37.43,1,2,"BOOM! STUDIOS"
5,"DEC240120E ","UNCANNY VALLEY #8 (OF 10) CVR B FLEECS",4.99,2.4950,12.48,1,2,"BOOM! STUDIOS"
2,"DEC240121E ","UNCANNY VALLEY #8 (OF 10) CVR C 10 COPY INCV WACHTER",4.99,2.4950,4.99,1,2,"BOOM! STUDIOS"
7,"DEC240111E ","VICARIOUS #5 (OF 5) CVR A PANOSIAN",4.99,2.4950,17.47,1,2,"BOOM! STUDIOS"
3,"DEC240112E ","VICARIOUS #5 (OF 5) CVR B VECCHIO",4.99,2.4950,7.49,1,2,"BOOM! STUDIOS"
1,"DEC240113E ","VICARIOUS #5 (OF 5) CVR C 10 COPY INCV PANOSIAN",4.99,2.4950,2.50,1,2,"BOOM! STUDIOS"
1,"SEP247436J ","WARM FUSION #1 12 INCH VINYL SIGNED (NET) (C: 0-1-2)",35.00,35.0000,35.00,16,2,""
14,"NOV240992E ","WARM FUSION #2 CVR A PONTICELLI (MR)",8.99,4.4950,62.93,1,2,"DSTLRY MEDIA"
4,"NOV240993E ","WARM FUSION #2 CVR B PONTICELLI (MR)",8.99,4.4950,17.98,1,2,"DSTLRY MEDIA"
2,"NOV240994E ","WARM FUSION #2 CVR C 10 COPY INCV IVANOVA (MR)",8.99,4.4950,8.99,1,2,"DSTLRY MEDIA"
1,"NOV240995E ","WARM FUSION #2 CVR D 25 COPY INCV ROSSMO (MR)",8.99,4.4950,4.50,1,2,"DSTLRY MEDIA"
1,"NOV240996E ","WARM FUSION #2 CVR E 50 COPY INCV WU (MR)",8.99,4.4950,4.50,1,2,"DSTLRY MEDIA"
2,"OCT248521E ","WARM FUSION #2 CVR F WARD (MR)",8.99,4.4950,8.99,1,2,"DSTLRY MEDIA"
1,"SEP241710E ","WORLD WITHIN THE WORLD HC COLL MINICOMIX & SHORT WORKS (MR)",39.99,19.9950,20.00,3,2,"FANTAGRAPHICS BOOKS"
1,"APR171684E ","Z NATION #3 CVR A MEDRI (MR)",3.99,1.0000,1.00,1,2,"DYNAMITE"
