Invoice Number,1089100092,,,,,,,,,,
Account Number,0494330000,,,,,,,,,,
Bill To,"MEGA CITY ONE 
7301 MELROSE AVE 
LOS ANGELES, CA 90046-7512",,,,,,,,,,
Ship To,"MEGA CITY ONE 
7301 MELROSE AVE 
LOS ANGELES, CA 90046-7512",,,,,,,,,,
Sales Order Number,0015244799,0015373497,0015497865,0014635087,0015613168,,,,,,
Purchase Order Number,11320251615,12020251454,1272025179,12920241244,2320251341,,,,,,
Invoice Create Date,2025-02-14,,,,,,,,,,
Promotion Code,,,,,,,,,,,
Transportation Chgs,$0.00,,,,,,,,,,
Handling Chgs,$0.00,,,,,,,,,,
Taxes,$0.00,,,,,,,,,,
Total Due,"$2,197.52",,,,,,,,,,
,,,,,,,,,,,
Line,Description,ISBN,ISBN10,UPC/SKU,CC,Price,Discount %,Net Value,Qty,Net Amount,Purchase Order Number
994,WEST COAST AVENGERS #4 MARK BROOKS ANIMATED-STYLE VARIANT,75960620969900421,,,CA,$3.99,50,$1.99,5,$9.97,1272025179
995,WEST COAST AVENGERS #4 MARK BROOKS ANIMATED-STYLE VIRGIN VARIANT [1:50],75960620969900416,,,CA,$3.99,50,$1.99,1,$1.99,1272025179
996,WEST COAST AVENGERS #4 NAO FUJI TORCH! VARIANT,75960620969900431,,,CA,$3.99,50,$1.99,5,$9.97,1272025179
997,WOMEN OF MARVEL: SHE-DEVILS #1,75960621218700111,,,US,$4.99,50,$2.49,10,$24.95,1272025179
998,WOMEN OF MARVEL: SHE-DEVILS #1 PEACH MOMOKO VARIANT,75960621218700131,,,US,$4.99,50,$2.49,10,$24.95,1272025179
999,WOMEN OF MARVEL: SHE-DEVILS #1 ROSE BESCH VARIANT,75960621218700121,,,US,$4.99,50,$2.49,10,$24.95,1272025179
1000,X-MEN #12,75960620920001211,,,US,$4.99,50,$2.49,40,$99.80,1272025179
1001,X-MEN #12 DAVID YARDIN VARIANT,75960620920001251,,,US,$4.99,50,$2.49,5,$12.47,1272025179
1002,X-MEN #12 MARK BROOKS ANIMATED-STYLE VARIANT,75960620920001221,,,US,$4.99,50,$2.49,5,$12.47,1272025179
1003,X-MEN #12 MARK BROOKS ANIMATED-STYLE VIRGIN VARIANT [1:50],75960620920001216,,,US,$4.99,50,$2.49,1,$2.49,1272025179
1004,X-MEN #12 NIMIT MALAVIA PHOENIX VARIANT,75960620920001241,,,US,$4.99,50,$2.49,5,$12.47,1272025179
1005,X-MEN #12 R.B. SILVA CONNECTING VARIANT,75960620920001231,,,US,$4.99,50,$2.49,5,$12.47,1272025179
1006,STAR WARS: THE RISE OF SKYWALKER ADAPTATION #1,75960609925200111,,,US,$4.99,50,$2.49,8,$19.96,1272025179
1007,AMAZING SPIDER-MAN #68.DEATHS,75960621190606811,,,US,$3.99,50,$1.99,42,$83.79,1272025179
